Term,Ont,N,DE,P.DE
enzyme binding,MF,2217,148,3.4026963839179243e-15
binding,MF,15267,610,1.2800964478297236e-12
protein binding,MF,11807,72,1.27276007016625e-5
steroid hormone receptor activity,MF,56,3,1.0899008541229136e-4
steroid binding,MF,95,3,5.207086404311646e-4
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding,MF,14,3,8.832043944317146e-5
intronic transcription regulatory region DNA binding,MF,17,3,1.6269305591463224e-4
intronic transcription regulatory region sequence-specific DNA binding,MF,17,3,1.6269305591463224e-4
molecular_function,MF,17697,126,1.7082962271651046e-4
glutamate:sodium symporter activity,MF,4,2,2.413986635717574e-4
glycerol-3-phosphate O-acyltransferase activity,MF,4,2,2.413986635717574e-4
high-affinity glutamate transmembrane transporter activity,MF,4,2,2.413986635717574e-4
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity,MF,4,2,2.413986635717574e-4
extracellular matrix structural constituent conferring tensile strength,MF,41,3,2.353483346876535e-5
platelet-derived growth factor binding,MF,11,2,9.831028080284106e-5
DNA replication origin binding,MF,24,2,4.879455044117151e-4
adenosine kinase activity,MF,1,1,0.001366653650917704
CX3C chemokine receptor binding,MF,1,1,0.001366653650917704
protein binding,MF,11807,350,6.252555633213073e-19
binding,MF,15267,403,7.59628056771266e-15
molecular_function,MF,17697,434,1.35683323765637e-11
ion binding,MF,6218,202,7.4840759938638e-11
3-phosphoinositide-dependent protein kinase binding,MF,1,1,9.761811792263764e-5
NMDA glutamate receptor activity,MF,7,1,6.832267629571787e-4
olfactory receptor activity,MF,427,227,3.3853168932364863e-242
G protein-coupled receptor activity,MF,866,234,1.1580878531142764e-166
transmembrane signaling receptor activity,MF,1277,236,1.3815146530051987e-127
signaling receptor activity,MF,1484,236,1.7718066999525287e-112
molecular transducer activity,MF,1538,236,5.798194055361125e-109
odorant binding,MF,102,60,4.754477676596872e-65
protein binding,MF,11807,86,1.7189598154879857e-8
nucleic acid binding,MF,4349,47,2.5889551348767167e-8
RNA binding,MF,1950,27,8.129655779114837e-7
binding,MF,15267,96,9.017046978676342e-7
heterocyclic compound binding,MF,6241,55,1.005797091369291e-6
organic cyclic compound binding,MF,6328,55,1.6280418420989037e-6
nucleic acid binding,MF,4349,1261,3.813622988078308e-125
DNA binding,MF,2518,841,2.815338442185165e-112
olfactory receptor activity,MF,427,5,7.547232232692998e-5
G protein-coupled receptor activity,MF,866,5,0.0019264474477437375
olfactory receptor activity,MF,427,236,8.567953528902135e-261
G protein-coupled receptor activity,MF,866,247,4.05785197709921e-186
transmembrane signaling receptor activity,MF,1277,250,3.404968517825827e-145
signaling receptor activity,MF,1484,251,6.8751081367019156e-130
molecular transducer activity,MF,1538,251,4.6057655754978644e-126
odorant binding,MF,102,65,2.0961587302412623e-74
olfactory receptor activity,MF,427,240,3.3953799196834706e-266
G protein-coupled receptor activity,MF,866,252,7.159615642748016e-191
transmembrane signaling receptor activity,MF,1277,256,5.091784496099092e-150
signaling receptor activity,MF,1484,260,2.0734620111423873e-137
molecular transducer activity,MF,1538,260,2.045089149041109e-133
odorant binding,MF,102,63,2.132774972884956e-70
nucleic acid binding,MF,4349,1333,2.2658266379245163e-151
DNA binding,MF,2518,889,3.979038673810609e-132
heterocyclic compound binding,MF,6241,1649,2.2596403238625942e-126
organic cyclic compound binding,MF,6328,1656,1.1512505936400634e-122
nucleic acid binding,MF,4349,1222,1.976630164512232e-169
DNA binding,MF,2518,817,1.1019316221646211e-141
heterocyclic compound binding,MF,6241,1483,6.71661453817961e-140
organic cyclic compound binding,MF,6328,1488,6.595104497377191e-136
MAP kinase kinase activity,MF,16,2,9.702095317967128e-5
protein serine/threonine/tyrosine kinase activity,MF,43,2,7.192650032351642e-4
acireductone dioxygenase [iron(II)-requiring] activity,MF,1,1,9.273721202655016e-4
chloramphenicol O-acetyltransferase activity,MF,1,1,9.273721202655016e-4
AF-2 domain binding,MF,3,1,0.002779672652966858
mitochondrial promoter sequence-specific DNA binding,MF,3,1,0.002779672652966858
thyroid hormone receptor coactivator activity,MF,4,1,0.0037046024171645264
complement component C3b binding,MF,5,2,1.3333853256861778e-6
sequence-specific DNA binding,MF,1139,6,5.944773490909896e-5
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,8,1.8122899231265234e-7
DNA-binding transcription factor activity,MF,1699,8,2.892301096829285e-7
sequence-specific DNA binding,MF,1139,7,4.366111473320904e-7
transcription regulator activity,MF,2053,8,1.2540424438928929e-6
DNA binding,MF,2518,8,6.0207445184981195e-6
olfactory receptor activity,MF,427,235,1.1290649486212662e-256
G protein-coupled receptor activity,MF,866,248,4.292134111699655e-185
transmembrane signaling receptor activity,MF,1277,252,4.031491565036681e-145
signaling receptor activity,MF,1484,254,1.0061086984670498e-130
molecular transducer activity,MF,1538,254,7.490474217599347e-127
odorant binding,MF,102,63,2.641619510751028e-70
protein binding,MF,11807,1296,3.1487700489944747e-54
syntaxin-1 binding,MF,26,4,1.3086414041828826e-6
neurotransmitter receptor activity,MF,117,6,1.913070166100714e-6
single-stranded RNA binding,MF,95,3,2.0627848680387705e-4
poly(A) binding,MF,24,2,3.8809021978339185e-4
poly-purine tract binding,MF,30,2,6.089260096215037e-4
ubiquitin-protein transferase activity,MF,382,4,0.0011035810946224975
3'-5' DNA/RNA helicase activity,MF,1,1,0.0012202264740335256
DNA binding,MF,2518,63,9.188349131129023e-13
protein binding,MF,11807,162,7.807099248925484e-12
RNA binding,MF,1950,46,1.9765908434111043e-17
nucleic acid binding,MF,4349,56,4.3578360323186313e-10
olfactory receptor activity,MF,427,86,1.451677938606508e-74
G protein-coupled receptor activity,MF,866,89,3.991492319576296e-51
transmembrane signaling receptor activity,MF,1277,94,1.2766934584440824e-41
signaling receptor activity,MF,1484,95,5.11031778854003e-37
molecular transducer activity,MF,1538,95,9.650876810790277e-36
odorant binding,MF,102,29,1.023032971140829e-29
thiol-dependent ubiquitin-specific protease activity,MF,106,6,2.1963134407476005e-7
thiol-dependent ubiquitinyl hydrolase activity,MF,114,6,3.383334662812263e-7
ubiquitinyl hydrolase activity,MF,114,6,3.383334662812263e-7
cysteine-type endopeptidase activity,MF,116,6,3.7504224918175877e-7
ubiquitin-like protein-specific protease activity,MF,123,6,5.302193890803741e-7
cysteine-type peptidase activity,MF,184,6,5.534687578337449e-6
endopeptidase activity,MF,427,8,8.314788258978507e-6
"peptidase activity, acting on L-amino acid peptides",MF,599,8,9.25804008278245e-5
peptidase activity,MF,623,8,1.2149831852571926e-4
protein binding,MF,11807,115,1.2431677193206574e-5
olfactory receptor activity,MF,427,51,8.39585838814344e-39
G protein-coupled receptor activity,MF,866,54,1.1369095387689971e-26
transmembrane signaling receptor activity,MF,1277,56,2.9639621376616696e-20
signaling receptor activity,MF,1484,58,1.2684081443742852e-18
odorant binding,MF,102,19,1.355265119135384e-18
molecular transducer activity,MF,1538,58,6.7137055008413975e-18
protein binding,MF,11807,515,1.0483855394459107e-13
protein binding,MF,11807,132,1.9232405702272562e-9
binding,MF,15267,146,1.4286202097939924e-5
enzyme binding,MF,2217,35,8.107829532737113e-5
protein binding,MF,11807,370,9.56767702043555e-15
enzyme binding,MF,2217,102,1.626394743662479e-10
binding,MF,15267,425,6.506680912249058e-9
olfactory receptor activity,MF,427,251,2.675963091190799e-242
G protein-coupled receptor activity,MF,866,263,4.48993385359508e-161
transmembrane signaling receptor activity,MF,1277,267,3.8054000564497523e-119
signaling receptor activity,MF,1484,269,2.924048449984616e-104
molecular transducer activity,MF,1538,269,2.1466385971195218e-100
odorant binding,MF,102,65,3.631380728526919e-64
olfactory receptor activity,MF,427,261,5.1376091350275735e-259
G protein-coupled receptor activity,MF,866,276,4.2034714540743855e-176
transmembrane signaling receptor activity,MF,1277,280,3.0121875051948536e-131
signaling receptor activity,MF,1484,282,2.5775801905715505e-115
molecular transducer activity,MF,1538,282,3.4571315841589906e-111
odorant binding,MF,102,67,1.914030414249629e-67
heterocyclic compound binding,MF,6241,157,2.412835106039938e-15
organic cyclic compound binding,MF,6328,157,9.099933789137529e-15
nucleic acid binding,MF,4349,122,1.7814583468125687e-14
binding,MF,15267,275,6.00702822093277e-14
protein binding,MF,11807,234,1.2546686567567219e-13
olfactory receptor activity,MF,427,258,5.383776697265338e-253
G protein-coupled receptor activity,MF,866,274,8.21272897887761e-173
transmembrane signaling receptor activity,MF,1277,280,2.356471516494285e-130
signaling receptor activity,MF,1484,282,1.9272094282069072e-114
molecular transducer activity,MF,1538,282,2.539952635365355e-110
odorant binding,MF,102,68,6.42660893437157e-69
3-hydroxybutyrate dehydrogenase activity,MF,2,1,0.0011711029329233291
fibroblast growth factor binding,MF,23,1,0.01339200756090575
protein binding,MF,11807,933,1.1325115917559733e-42
binding,MF,15267,1087,9.415288470116812e-35
DNA binding,MF,2518,154,1.476458498100083e-41
nucleic acid binding,MF,4349,190,3.805053321916234e-32
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,109,4.144303658673504e-32
DNA-binding transcription factor activity,MF,1699,112,8.794838018846711e-32
protein binding,MF,11807,143,3.795880919791898e-9
binding,MF,15267,166,2.3844668338449513e-8
extracellular matrix structural constituent,MF,163,12,2.6991218408064713e-8
olfactory receptor activity,MF,427,145,6.876601429753783e-158
G protein-coupled receptor activity,MF,866,147,2.4738052539105837e-111
transmembrane signaling receptor activity,MF,1277,148,1.6458972229421258e-87
signaling receptor activity,MF,1484,149,3.0642237099136493e-79
molecular transducer activity,MF,1538,149,4.8292915344174255e-77
odorant binding,MF,102,43,1.056253836594748e-49
olfactory receptor activity,MF,427,145,8.004338466572207e-154
G protein-coupled receptor activity,MF,866,149,6.403819266386397e-110
transmembrane signaling receptor activity,MF,1277,153,4.2488788160792065e-89
signaling receptor activity,MF,1484,153,1.736247214520004e-79
molecular transducer activity,MF,1538,154,3.0414755399316218e-078
odorant binding,MF,102,49,4.925993344728521e-59
damaged DNA binding,MF,65,3,3.435255165236603e-4
olfactory receptor activity,MF,427,92,1.4842804817391303e-48
G protein-coupled receptor activity,MF,866,108,1.0618349351354366e-33
transmembrane signaling receptor activity,MF,1277,125,1.1375988261603765e-28
signaling receptor activity,MF,1484,134,2.5150756135611153e-27
molecular transducer activity,MF,1538,136,7.427354104464304e-27
odorant binding,MF,102,31,9.937380124696998e-22
olfactory receptor activity,MF,427,222,6.67649446506682e-243
G protein-coupled receptor activity,MF,866,232,1.0860119429752331e-173
transmembrane signaling receptor activity,MF,1277,235,7.673599367822282e-136
signaling receptor activity,MF,1484,237,1.1782720856389984e-122
molecular transducer activity,MF,1538,238,4.443828147196477e-120
odorant binding,MF,102,61,5.85624078207991e-69
olfactory receptor activity,MF,427,255,3.3939920566148795e-250
G protein-coupled receptor activity,MF,866,271,1.390654537117881e-171
transmembrane signaling receptor activity,MF,1277,276,9.262309257985966e-129
signaling receptor activity,MF,1484,280,7.065582116337219e-115
molecular transducer activity,MF,1538,280,8.859853216306067e-111
odorant binding,MF,102,68,1.8991254980463918e-69
olfactory receptor activity,MF,427,254,2.9607889479434683e-268
G protein-coupled receptor activity,MF,866,266,1.6209987242201737e-185
transmembrane signaling receptor activity,MF,1277,270,3.706307969151604e-142
signaling receptor activity,MF,1484,271,1.117185468711005e-125
molecular transducer activity,MF,1538,271,1.3022576079134274e-121
odorant binding,MF,102,66,1.5691277708753146e-70
nucleic acid binding,MF,4349,124,2.8186867288467237e-24
heterocyclic compound binding,MF,6241,140,5.0006546088310646e-18
organic cyclic compound binding,MF,6328,141,6.133360771937729e-18
olfactory receptor activity,MF,427,238,1.897743621506791e-243
G protein-coupled receptor activity,MF,866,246,6.706145888140125e-164
transmembrane signaling receptor activity,MF,1277,250,7.470430647647802e-125
signaling receptor activity,MF,1484,252,7.232884129432505e-111
molecular transducer activity,MF,1538,252,3.700990179829272e-107
odorant binding,MF,102,66,2.860265471749947e-71
olfactory receptor activity,MF,427,253,2.6698772369073076e-260
G protein-coupled receptor activity,MF,866,268,9.674904266975683e-182
transmembrane signaling receptor activity,MF,1277,272,3.942078438712568e-138
signaling receptor activity,MF,1484,274,1.4885741505248548e-122
molecular transducer activity,MF,1538,274,1.8020013938484673e-118
odorant binding,MF,102,67,7.192338394120771e-71
olfactory receptor activity,MF,427,239,5.320448464612402e-258
G protein-coupled receptor activity,MF,866,248,3.9055903099558285e-179
transmembrane signaling receptor activity,MF,1277,252,2.695138357794773e-139
signaling receptor activity,MF,1484,254,5.730479549000703e-125
molecular transducer activity,MF,1538,254,3.923683790938587e-121
odorant binding,MF,102,65,1.6315850472681642e-72
nucleic acid binding,MF,4349,137,4.8647272650288874e-26
heterocyclic compound binding,MF,6241,162,8.945024426332336e-23
organic cyclic compound binding,MF,6328,162,4.36740514615922e-22
olfactory receptor activity,MF,427,234,9.78789488989529e-257
G protein-coupled receptor activity,MF,866,243,2.2561558625512997e-180
transmembrane signaling receptor activity,MF,1277,246,2.445113910932556e-140
signaling receptor activity,MF,1484,247,2.3046998189771646e-125
molecular transducer activity,MF,1538,247,1.2789262532563452e-121
odorant binding,MF,102,63,1.0025426978024675e-70
olfactory receptor activity,MF,427,224,1.903944155230869e-250
G protein-coupled receptor activity,MF,866,233,5.215611896230993e-179
transmembrane signaling receptor activity,MF,1277,235,1.0302169568285513e-139
signaling receptor activity,MF,1484,236,1.9636225046877913e-125
molecular transducer activity,MF,1538,236,7.749589750227479e-122
odorant binding,MF,102,62,1.2123391448396516e-71
poly(A) binding,MF,24,2,1.9891976719682984e-4
poly-purine tract binding,MF,30,2,3.125373644374618e-4
poly(U) RNA binding,MF,30,2,3.125373644374618e-4
poly-pyrimidine tract binding,MF,33,2,3.787639295686452e-4
cGMP-dependent protein kinase activity,MF,2,1,0.0017563970958087705
melanocyte-stimulating hormone receptor activity,MF,3,1,0.0026335026728991906
mRNA 3'-UTR binding,MF,91,2,0.0028503117076459947
single-stranded RNA binding,MF,95,2,0.0031013983760219896
melanocortin receptor activity,MF,6,1,0.005260454347287169
G protein-coupled peptide receptor activity,MF,146,2,0.0071603039551102815
peptide receptor activity,MF,152,2,0.007738911931466817
cAMP-dependent protein kinase activity,MF,10,1,0.00875289264582424
cyclic nucleotide-dependent protein kinase activity,MF,10,1,0.00875289264582424
G protein-coupled peptide receptor activity,MF,146,3,4.10096756755681e-5
peptide receptor activity,MF,152,3,4.6242866551945016e-5
peptide hormone binding,MF,49,2,2.490902291904446e-4
cGMP-dependent protein kinase activity,MF,2,1,9.759667595802268e-4
parathyroid hormone receptor activity,MF,2,1,9.759667595802268e-4
hormone binding,MF,102,2,0.001076083637292778
melanocyte-stimulating hormone receptor activity,MF,3,1,0.0014636285936328042
melanocortin receptor activity,MF,6,1,0.0029253289172105346
molecular transducer activity,MF,1538,4,0.004598323685788167
cAMP-dependent protein kinase activity,MF,10,1,0.004871267053993544
cyclic nucleotide-dependent protein kinase activity,MF,10,1,0.004871267053993544
neuropeptide Y receptor activity,MF,10,1,0.004871267053993544
nucleic acid binding,MF,4349,180,1.658885806875328e-33
heterocyclic compound binding,MF,6241,216,8.349047397417207e-31
olfactory receptor activity,MF,427,201,3.4633440211353e-231
G protein-coupled receptor activity,MF,866,206,5.001315260303967e-165
transmembrane signaling receptor activity,MF,1277,208,6.085644773029143e-131
signaling receptor activity,MF,1484,208,2.2531927773721217e-117
molecular transducer activity,MF,1538,208,3.357179719212657e-114
odorant binding,MF,102,55,2.545857474820444e-64
olfactory receptor activity,MF,427,248,3.6290104173329786e-254
G protein-coupled receptor activity,MF,866,259,2.991003253413191e-173
transmembrane signaling receptor activity,MF,1277,263,1.4580642398321246e-131
signaling receptor activity,MF,1484,265,1.1635270810837844e-116
molecular transducer activity,MF,1538,265,9.693251195571329e-113
odorant binding,MF,102,67,1.8317057077288805e-71
olfactory receptor activity,MF,427,242,1.0202681418736805e-250
G protein-coupled receptor activity,MF,866,253,7.53407254757483e-173
transmembrane signaling receptor activity,MF,1277,260,2.4266410240654046e-135
signaling receptor activity,MF,1484,264,1.795893226228509e-122
molecular transducer activity,MF,1538,264,1.604405383095224e-118
odorant binding,MF,102,66,2.360642929608341e-71
olfactory receptor activity,MF,427,253,2.4033342853041683e-253
G protein-coupled receptor activity,MF,866,265,4.57293772329888e-171
transmembrane signaling receptor activity,MF,1277,268,2.0728577671809315e-127
signaling receptor activity,MF,1484,269,2.1330533711261363e-111
molecular transducer activity,MF,1538,269,1.8117320409829497e-107
odorant binding,MF,102,68,5.510878441907803e-71
nucleic acid binding,MF,4349,1221,1.9372035078451357e-151
heterocyclic compound binding,MF,6241,1496,1.3733309275054324e-125
organic cyclic compound binding,MF,6328,1505,2.5736244448798505e-123
DNA binding,MF,2518,790,4.583499283472723e-116
nucleic acid binding,MF,4349,1267,1.256540017116397e-156
heterocyclic compound binding,MF,6241,1548,2.011807065416535e-127
organic cyclic compound binding,MF,6328,1560,3.6543420700093387e-126
DNA binding,MF,2518,826,1.4171324891942017e-123
olfactory receptor activity,MF,427,222,4.775038588008366e-245
G protein-coupled receptor activity,MF,866,229,7.194465121630842e-172
transmembrane signaling receptor activity,MF,1277,232,1.3011301384419233e-134
signaling receptor activity,MF,1484,232,1.4479944049648104e-119
molecular transducer activity,MF,1538,232,4.66216372767744e-116
odorant binding,MF,102,62,3.0982218219923018e-71
tetrahydrofolylpolyglutamate synthase activity,MF,1,1,3.4166341272934275e-4
binding,MF,15267,2201,5.1739300230218214e-36
protein binding,MF,11807,1787,6.43880319998092e-33
heterocyclic compound binding,MF,6241,1035,2.515204800657465e-26
organic cyclic compound binding,MF,6328,1044,9.644205690967473e-26
molecular_function,MF,17697,2417,6.040909920109119e-24
DNA binding,MF,2518,481,3.4632653061825174e-22
protein binding,MF,11807,1026,2.0828346679287938e-38
olfactory receptor activity,MF,427,90,3.1402812701998157e-74
G protein-coupled receptor activity,MF,866,94,1.5178172657408301e-50
transmembrane signaling receptor activity,MF,1277,99,3.231545595832618e-40
signaling receptor activity,MF,1484,99,1.2257866485287372e-34
molecular transducer activity,MF,1538,99,2.4137655115501122e-33
odorant binding,MF,102,32,2.460375554280424e-32
protein binding,MF,11807,208,4.626822262586533e-10
protein binding,MF,11807,217,6.539334260945804e-11
protein binding,MF,11807,94,2.7856302271079236e-6
binding,MF,15267,110,4.3941731763868386e-6
"alpha-1,3-glucosidase activity",MF,1,1,8.785630613040718e-4
"glucan 1,3-alpha-glucosidase activity",MF,1,1,8.785630613040718e-4
L-amino-acid oxidase activity,MF,1,1,8.785630613040718e-4
ubiquitin binding,MF,76,2,0.0019992546599274614
structural constituent of nuclear pore,MF,28,5,1.6955195312154264e-8
double-stranded RNA binding,MF,75,3,5.1359319103617154e-5
lipase activity,MF,127,2,0.0013339049478456278
sphingomyelin phosphodiesterase activity,MF,6,1,0.002633117320155809
galactoside binding,MF,7,1,0.004774190975435522
proton channel activity,MF,7,1,0.004774190975435522
phosphatidylcholine binding,MF,27,1,0.0026340167106664314
quaternary ammonium group binding,MF,27,1,0.0026340167106664314
ammonium ion binding,MF,75,1,0.00730813629930771
phospholipid binding,MF,427,1,0.04124956565726812
RNA polymerase II proximal promoter sequence-specific DNA binding,MF,544,1,0.052400502279452255
proximal promoter sequence-specific DNA binding,MF,559,1,0.053825392306474984
olfactory receptor activity,MF,427,2,0.006149216443773448
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,3,0.007942851630077486
DNA-binding transcription factor activity,MF,1699,3,0.009402960018748569
nucleic acid binding,MF,4349,924,4.47056654726843e-84
DNA binding,MF,2518,607,1.5363691817399842e-71
heterocyclic compound binding,MF,6241,1156,6.433467874316372e-71
organic cyclic compound binding,MF,6328,1164,1.2038675737230437e-69
"glucan 1,4-alpha-glucosidase activity",MF,1,1,2.4404529480670512e-4
"alpha-1,4-glucosidase activity",MF,3,1,7.319929449665086e-4
maltose alpha-glucosidase activity,MF,3,1,7.319929449665086e-4
SUMO polymer binding,MF,5,1,0.0012197500557035168
alpha-glucosidase activity,MF,6,1,0.0014635571762289246
amylase activity,MF,6,1,0.0014635571762289246
nucleic acid binding,MF,4349,881,4.8348624674052946e-145
heterocyclic compound binding,MF,6241,1042,1.0775442762254282e-116
organic cyclic compound binding,MF,6328,1046,3.732469986459719e-114
olfactory receptor activity,MF,427,243,6.783815391479485e-268
G protein-coupled receptor activity,MF,866,252,5.033462597180412e-187
transmembrane signaling receptor activity,MF,1277,255,3.775977808450619e-145
signaling receptor activity,MF,1484,256,1.560082066091692e-129
molecular transducer activity,MF,1538,257,1.2097875042841108e-126
odorant binding,MF,102,67,9.880727417733119e-77
olfactory receptor activity,MF,427,220,3.1663914040431233e-250
G protein-coupled receptor activity,MF,866,226,1.2342026216047715e-176
transmembrane signaling receptor activity,MF,1277,228,1.1447350133913462e-138
signaling receptor activity,MF,1484,228,9.08753658266016e-124
molecular transducer activity,MF,1538,228,2.734027266055039e-120
odorant binding,MF,102,63,3.9935626166373253e-75
nucleic acid binding,MF,4349,577,1.3532401795439787e-90
heterocyclic compound binding,MF,6241,683,2.9029387646181884e-73
organic cyclic compound binding,MF,6328,686,7.50109622971417e-72
olfactory receptor activity,MF,427,215,5.267102695236759e-218
G protein-coupled receptor activity,MF,866,223,1.833496676870188e-149
transmembrane signaling receptor activity,MF,1277,227,6.365352215700034e-115
signaling receptor activity,MF,1484,228,1.414551815816088e-101
molecular transducer activity,MF,1538,228,3.055490378313115e-98
odorant binding,MF,102,63,2.1554110501302144e-69
olfactory receptor activity,MF,427,70,6.763670235222552e-73
G protein-coupled receptor activity,MF,866,70,5.424971283595859e-51
transmembrane signaling receptor activity,MF,1277,70,1.1035125257351865e-39
odorant binding,MF,102,29,5.387903540104906e-37
signaling receptor activity,MF,1484,70,1.8386336086488478e-35
molecular transducer activity,MF,1538,70,1.7982945864762618e-34
olfactory receptor activity,MF,427,141,2.6759574881980855e-159
G protein-coupled receptor activity,MF,866,144,1.4460417296060851e-115
transmembrane signaling receptor activity,MF,1277,146,2.713320087043437e-93
signaling receptor activity,MF,1484,146,5.558372204369777e-84
molecular transducer activity,MF,1538,146,8.497566895351138e-82
odorant binding,MF,102,43,9.220666806611432e-52
olfactory receptor activity,MF,427,118,8.692788758542526e-127
G protein-coupled receptor activity,MF,866,118,6.130628504539219e-88
transmembrane signaling receptor activity,MF,1277,119,2.2225439536521292e-69
signaling receptor activity,MF,1484,120,5.033822107069158e-63
molecular transducer activity,MF,1538,120,2.804959379853731e-61
odorant binding,MF,102,30,4.824288315465747e-32
olfactory receptor activity,MF,427,189,1.8067955523715256e-206
G protein-coupled receptor activity,MF,866,195,5.128773087525249e-147
transmembrane signaling receptor activity,MF,1277,198,1.9960605160391927e-116
signaling receptor activity,MF,1484,198,9.883761923529012e-104
molecular transducer activity,MF,1538,198,9.126835913062881e-101
odorant binding,MF,102,53,3.9390761546005886e-60
olfactory receptor activity,MF,427,57,5.471925706256815e-63
G protein-coupled receptor activity,MF,866,57,3.164550604144559e-45
transmembrane signaling receptor activity,MF,1277,58,4.418813438201636e-37
signaling receptor activity,MF,1484,58,1.620803153910193e-33
molecular transducer activity,MF,1538,58,1.1183906371758042e-32
odorant binding,MF,102,20,4.084701633585783e-25
3-dehydrosphinganine reductase activity,MF,1,1,1.464271768841785e-4
trace-amine receptor activity,MF,7,1,0.0010246900751048615
G protein-coupled amine receptor activity,MF,59,1,0.008614767985771654
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF,119,1,0.017324662424176407
"oxidoreductase activity, acting on CH-OH group of donors",MF,128,1,0.018626729985855683
protein binding,MF,11807,1423,2.1579480061951502e-41
olfactory receptor activity,MF,427,6,3.3468400123878576e-8
G protein-coupled receptor activity,MF,866,6,2.1580416065112757e-6
odorant binding,MF,102,3,1.9202747550225237e-5
transmembrane signaling receptor activity,MF,1277,6,2.0398238549797893e-5
signaling receptor activity,MF,1484,6,4.8074308362426645e-5
molecular transducer activity,MF,1538,6,5.888390257766007e-5
structural constituent of tooth enamel,MF,6,1,0.003217469166575504
olfactory receptor activity,MF,427,8,6.878239248743249e-10
G protein-coupled receptor activity,MF,866,8,1.7075638705133732e-7
transmembrane signaling receptor activity,MF,1277,9,2.1266207451265688e-7
signaling receptor activity,MF,1484,9,7.640458375786875e-7
molecular transducer activity,MF,1538,9,1.0337415642010182e-6
odorant binding,MF,102,4,1.311076630439307e-6
olfactory receptor activity,MF,427,35,2.8747292316568346e-42
G protein-coupled receptor activity,MF,866,35,1.80207594475277e-31
transmembrane signaling receptor activity,MF,1277,36,5.18474355075439e-27
signaling receptor activity,MF,1484,36,9.248220566440478e-25
molecular transducer activity,MF,1538,36,3.1468725308632447e-24
odorant binding,MF,102,14,8.874542988887438e-20
olfactory receptor activity,MF,427,18,5.727185021976049e-18
G protein-coupled receptor activity,MF,866,19,8.712940028954894e-14
transmembrane signaling receptor activity,MF,1277,20,8.171173218953278e-12
signaling receptor activity,MF,1484,20,1.2258721850156983e-10
odorant binding,MF,102,8,1.5233197412389348e-10
molecular transducer activity,MF,1538,20,2.3158181131275888e-10
lysozyme activity,MF,9,1,0.003071370515357219
peptidoglycan muralytic activity,MF,13,1,0.0044338264716653475
type I interferon receptor binding,MF,17,1,0.005794686111869618
olfactory receptor activity,MF,427,22,9.237089885626416e-24
G protein-coupled receptor activity,MF,866,23,2.0717792192689232e-18
transmembrane signaling receptor activity,MF,1277,24,7.546362887471652e-16
signaling receptor activity,MF,1484,24,2.143096895905517e-14
molecular transducer activity,MF,1538,24,4.714471917138589e-14
odorant binding,MF,102,10,7.918812005050602e-14
protein kinase activator activity,MF,80,2,1.4942688429056344e-4
kinase activator activity,MF,86,2,1.7273252921571702e-4
cyclin-dependent protein kinase activating kinase activity,MF,1,1,2.4404529480670512e-4
hormone activity,MF,122,2,3.4759356451814733e-4
protein kinase regulator activity,MF,180,2,7.543690556732237e-4
protein binding,MF,11807,541,3.7469437768483084e-20
binding,MF,15267,635,8.329108486594985e-16
molecular_function,MF,17697,691,1.0141616367295963e-11
olfactory receptor activity,MF,427,241,1.3412900443286586e-261
G protein-coupled receptor activity,MF,866,250,9.905586190250813e-182
transmembrane signaling receptor activity,MF,1277,253,2.2490907188086653e-140
signaling receptor activity,MF,1484,255,5.725759563491376e-126
molecular transducer activity,MF,1538,255,4.1043148004183054e-122
odorant binding,MF,102,65,1.6315850472681642e-72
cerebroside-sulfatase activity,MF,1,1,2.4404529480670512e-4
arylsulfatase activity,MF,14,1,0.003412300624768716
high-density lipoprotein particle binding,MF,15,1,0.0036556794709576845
sulfuric ester hydrolase activity,MF,17,1,0.004142294516753076
lipoprotein particle binding,MF,33,1,0.008028374199516408
protein-lipid complex binding,MF,33,1,0.008028374199516408
odorant binding,MF,102,1,0.024648376237222713
olfactory receptor activity,MF,427,150,1.8171543361348982e-157
G protein-coupled receptor activity,MF,866,157,1.9299341885276654e-115
transmembrane signaling receptor activity,MF,1277,160,4.611087312285905e-92
signaling receptor activity,MF,1484,161,5.0613596783286505e-83
molecular transducer activity,MF,1538,161,1.1870469488654403e-80
odorant binding,MF,102,48,5.774592254822185e-56
olfactory receptor activity,MF,427,112,1.598081253494997e-117
G protein-coupled receptor activity,MF,866,113,3.050419067782607e-82
transmembrane signaling receptor activity,MF,1277,114,1.2708586728578576e-64
signaling receptor activity,MF,1484,114,1.295444945069158e-57
molecular transducer activity,MF,1538,114,5.674765374623501e-56
odorant binding,MF,102,37,1.7702177636908006e-43
olfactory receptor activity,MF,427,6,7.7454361345276e-6
G protein-coupled receptor activity,MF,866,7,4.330014846635198e-5
transmembrane signaling receptor activity,MF,1277,7,4.8593041409817825e-4
ubiquitin protein ligase activity,MF,221,5,2.1893851883091395e-4
protein binding,MF,11807,1973,1.232428988511434e-69
binding,MF,15267,2331,1.1998862569551342e-55
