chrom	start	end	id	TCGA-06-0649-01B-01R-1849-01.bam	TCGA-06-0675-11A-32R-A36H-07.bam	TCGA-06-0678-11A-32R-A36H-07.bam	TCGA-06-0680-11A-32R-A36H-07.bam	TCGA-06-0681-11A-41R-A36H-07.bam	TCGA-06-0686-01A-01R-1849-01.bam	TCGA-06-0743-01A-01R-1849-01.bam	TCGA-06-0744-01A-01R-1849-01.bam	TCGA-06-0745-01A-01R-1849-01.bam	TCGA-06-0747-01A-01R-1849-01.bam	TCGA-06-0749-01A-01R-1849-01.bam	TCGA-06-0750-01A-01R-1849-01.bam
chr5	3512620	3512882	uc.150	0	0	0	0	0	0	0	0	0	0	0	0
chr5	32380136	32380350	uc.151	692	686	729	774	546	219	519	528	619	800	382	281
chr5	50335637	50335838	uc.152	0	0	0	0	0	0	0	0	0	0	0	0
chr5	72195685	72195925	uc.153	118	105	86	115	51	94	105	174	176	413	97	157
chr5	72210014	72210217	uc.154	411	244	278	259	342	226	856	857	598	1214	934	1035
chr5	76934363	76934570	uc.155	4	1	0	0	0	8	15	8	1	12	2	11
chr5	76935418	76935631	uc.156	0	0	0	0	0	0	0	1	0	0	0	0
chr5	76941160	76941367	uc.157	2	0	0	0	0	0	0	0	0	2	0	0
chr5	77140252	77140476	uc.158	0	0	0	0	0	0	1	0	0	0	1	0
chr5	77147931	77148403	uc.159	0	1	0	0	0	1	4	0	2	2	6	3
chr5	77268843	77269165	uc.160	0	0	0	0	0	0	0	0	0	0	0	0
chr5	77358528	77358806	uc.161	64	23	35	39	32	44	67	69	103	125	78	98
chr5	81147360	81147578	uc.162	1	0	0	0	0	0	0	0	0	0	0	0
chr5	87168622	87168998	uc.163	2	0	0	0	0	0	0	0	3	0	0	0
chr5	87240404	87240607	uc.164	0	0	0	2	0	0	0	0	0	0	5	0
chr5	87692932	87693156	uc.165	52	36	12	30	43	43	62	0	160	0	77	68
chr5	87961804	87962114	uc.166	846	344	371	473	315	437	869	1132	1263	1214	306	536
chr5	88179623	88179824	uc.167	6	20	6	7	16	8	21	13	14	8	11	8
chr5	90928792	90929012	uc.168	0	0	0	0	0	0	0	0	0	0	0	0
chr5	92921016	92921220	uc.169	523	866	567	1096	916	283	873	544	758	605	616	477
chr5	93227669	93227979	uc.170	14	18	26	22	16	8	10	22	23	26	7	8
chr5	93575846	93576054	uc.171	0	0	0	0	0	0	0	0	0	1	0	0
chr5	93650718	93650936	uc.172	0	2	0	0	0	0	0	0	0	0	0	0
chr5	133726159	133726435	uc.173	1412	1581	1807	1766	1797	430	1236	1147	2088	1470	1663	1523
chr5	138643653	138643913	uc.174	837	2432	2199	2900	1627	398	449	555	870	1402	289	239
chr5	158341837	158342087	uc.175	0	0	0	0	0	0	0	0	0	0	0	0
chr5	167332694	167332940	uc.176	0	18	18	19	0	0	0	0	0	13	0	0
chr5	170417628	170417885	uc.177	0	0	0	0	0	0	0	0	0	0	0	0
chr5	170417997	170418246	uc.178	0	0	0	0	0	0	0	0	0	0	0	0
chr5	170628211	170628430	uc.179	0	6	0	0	3	0	0	0	0	0	0	3
chr5	170628488	170628713	uc.180	0	6	0	0	3	0	0	0	0	0	0	3
chr5	170629478	170629756	uc.181	0	6	0	0	3	0	0	0	0	0	0	3
chr5	170703078	170703317	uc.182	0	0	5	0	4	0	0	0	0	0	0	3
chr5	171384519	171384755	uc.183	26	141	90	153	88	0	8	16	35	37	3	11
chr5	173385291	173385521	uc.184	153	451	407	557	407	81	109	69	173	168	103	87
chr5	178044306	178044717	uc.185	170	165	177	208	186	52	205	98	125	395	114	82
chr5	179046196	179046501	uc.186	1157	1185	1608	1315	1136	835	1797	1698	1570	3485	646	931
chr6	10394676	10394888	uc.187	0	0	0	0	0	4	0	0	15	8	0	0
chr6	16299383	16299598	uc.188	189	335	245	378	499	52	318	266	276	317	298	315
chr6	36567516	36568089	uc.189	1173	638	633	619	703	1014	1634	2161	3193	2351	1169	570
chr6	41523439	41523639	uc.190	0	1	0	0	0	0	0	7	0	0	0	0
chr6	51076793	51077001	uc.191	0	0	0	0	0	0	0	0	0	0	0	0
chr6	51148996	51149240	uc.192	0	0	0	0	0	0	0	0	0	0	0	0
chr6	86321685	86322004	uc.193	547	241	342	298	244	482	751	906	832	1255	498	599
chr6	93969063	93969264	uc.194	13	39	19	31	24	0	0	0	0	0	1	0
chr6	97663355	97663628	uc.195	4	1	0	0	0	2	0	8	6	3	0	0
chr6	98116539	98116760	uc.196	0	6	0	0	0	0	2	5	21	0	7	2
chr6	98362798	98363022	uc.197	6	8	0	12	0	0	0	0	0	0	8	0
chr6	98719888	98720195	uc.198	0	0	0	0	0	0	0	0	0	0	0	0
chr6	98813854	98814110	uc.199	5	0	0	11	1	0	15	0	0	2	12	0
chr6	98995532	98995786	uc.200	0	0	0	0	0	0	0	0	0	0	0	0
chr6	100051983	100052223	uc.201	0	0	0	0	0	0	0	0	0	0	0	0
chr6	100973982	100974212	uc.202	33	20	27	22	20	38	40	32	74	88	30	37
chr6	163991703	163991906	uc.203	699	231	274	257	253	373	341	521	502	748	192	201
chr7	1265903	1266105	uc.204	0	0	0	0	0	0	0	0	0	0	0	0
chr7	20829788	20830040	uc.205	0	0	0	0	0	0	0	0	0	0	0	0
chr7	21003764	21004263	uc.206	0	0	0	1	0	0	0	0	0	0	0	0
chr7	21811492	21811722	uc.207	0	0	0	0	0	0	2	0	0	0	0	0
chr7	23561669	23561887	uc.208	326	257	313	337	285	217	797	722	454	486	215	363
chr7	23561887	23562137	uc.209	225	257	298	338	281	154	537	492	361	371	172	226
chr7	26697077	26697334	uc.210	6	1	1	0	0	3	3	0	13	0	11	6
chr7	26729471	26729762	uc.211	145	63	50	73	28	42	51	12	108	17	42	49
chr7	27141937	27142142	uc.212	18	0	0	0	0	51	23	0	86	2	65	54
chr7	27183131	27183332	uc.213	69	0	0	0	0	101	134	15	233	33	75	101
chr7	31402397	31402640	uc.214	0	0	0	0	0	0	0	0	0	0	0	0
chr7	42192584	42192846	uc.215	0	2	0	4	3	0	0	0	0	6	0	0
chr7	50358154	50358466	uc.216	0	0	0	0	0	0	0	0	0	0	6	0
chr7	54636655	54636876	uc.217	1	676	239	748	558	12	3	10	4	1	63	0
chr7	69802974	69803260	uc.218	1	0	0	0	0	0	0	0	0	0	0	0
chr7	69980779	69980989	uc.219	0	0	0	0	0	0	0	0	0	0	0	0
chr7	96633915	96634172	uc.220	7	8	3	10	0	0	0	0	0	0	0	0
chr7	96641300	96641649	uc.221	24	4	2	7	7	5	0	1	0	0	0	0
chr7	114057170	114057371	uc.222	0	0	0	0	0	0	0	0	0	0	0	0
chr7	114058184	114058452	uc.223	2	0	0	2	0	1	0	0	0	0	1	1
chr7	114063018	114063313	uc.224	0	0	0	1	0	0	0	0	0	0	0	0
chr7	114072854	114073055	uc.225	14	12	0	9	6	0	0	1	0	0	0	0
chr7	114209317	114209522	uc.226	4	0	0	4	0	0	0	0	0	0	0	0
chr7	114295315	114295546	uc.227	12	7	11	10	4	0	0	0	0	0	0	0
chr7	115116696	115116961	uc.228	0	0	0	0	0	0	0	0	0	0	0	0
chr7	115134644	115134940	uc.229	0	0	0	0	0	0	0	0	0	0	0	0
chr7	115319460	115319698	uc.230	0	0	0	0	0	0	0	0	0	0	0	0
chr7	115582116	115582340	uc.231	21	4	0	5	2	0	0	3	8	9	19	3
chr7	121944605	121944852	uc.232	2	1	8	3	0	0	2	2	0	0	0	0
chr7	150828313	150828579	uc.233	76	104	114	1	72	78	79	0	135	145	73	69
chr7	156812384	156812656	uc.234	2	0	0	0	0	2	0	3	0	2	0	0
chr8	25775920	25776147	uc.235	0	0	0	0	0	0	0	0	0	0	0	0
chr8	37250468	37250735	uc.236	0	0	4	0	1	0	0	0	0	0	0	0
chr8	53137901	53138369	uc.237	0	6	10	9	13	0	0	0	0	0	0	0
chr8	53167116	53167474	uc.238	0	0	12	0	9	0	0	0	0	0	0	0
chr8	59942372	59942672	uc.239	30	0	20	25	0	18	0	0	6	34	0	11
chr8	65492538	65492744	uc.240	0	35	5	49	31	0	0	0	0	0	1	0
chr8	65497129	65497331	uc.241	0	1	0	2	0	2	0	0	0	0	0	0
chr8	66149296	66149561	uc.242	0	0	0	0	0	0	0	0	0	0	0	0
chr8	77690961	77691177	uc.243	0	5	0	3	0	0	0	0	0	0	0	2
chr8	105962348	105962669	uc.244	0	0	0	0	0	0	0	0	0	0	0	0
chr8	106333831	106334170	uc.245	0	0	0	12	1	3	0	2	0	0	0	0
chr8	119123217	119123501	uc.246	109	172	116	189	165	64	63	112	142	194	56	67
chr9	969153	969514	uc.247	0	0	0	0	0	0	0	0	0	0	0	0
chr9	974188	974410	uc.248	0	0	0	0	0	0	0	0	0	0	0	0
chr9	8095727	8095987	uc.249	0	0	0	0	0	0	0	0	0	0	0	0
chr9	13939909	13940118	uc.250	0	0	0	0	0	0	0	0	0	0	0	0
chr9	15874308	15874521	uc.251	8	1	0	11	0	2	0	2	0	0	0	0
chr9	16710752	16710983	uc.252	0	0	0	2	0	0	0	0	0	0	0	0
chr9	17332211	17332433	uc.253	0	2	2	0	0	0	0	0	0	3	0	0
chr9	23496724	23497003	uc.254	0	2	0	3	0	0	0	0	0	0	0	0
chr9	23691767	23691999	uc.255	18	493	382	533	415	36	2	7	0	18	27	0
chr9	23692233	23692439	uc.256	31	497	360	645	339	17	1	6	0	17	18	4
chr9	37215203	37215467	uc.257	18	0	12	9	0	0	13	35	21	18	0	10
chr9	37324423	37324624	uc.258	19	13	8	16	19	17	35	48	52	37	38	28
chr9	79627878	79628186	uc.259	0	0	0	0	0	0	0	0	0	0	0	0
chr9	81472423	81472654	uc.260	0	0	0	0	0	0	0	0	0	0	0	0
chr9	81871573	81871884	uc.261	0	0	0	0	0	0	0	0	0	0	0	0
chr9	83727721	83727976	uc.262	0	0	0	0	0	0	0	0	0	0	0	0
chr9	86590283	86590490	uc.263	1167	2033	1963	2075	1541	674	1001	3109	1519	2147	702	694
chr9	86590491	86590758	uc.264	568	963	956	1034	724	261	463	2166	641	1008	302	296
chr9	108118470	108118687	uc.265	597	283	831	450	729	721	201	206	927	244	438	219
chr9	109378291	109378534	uc.266	0	0	0	0	0	0	0	0	0	0	0	0
chr9	125053889	125054092	uc.267	104	66	43	82	73	46	137	156	124	129	83	143
chr9	125606827	125607078	uc.268	251	441	375	539	698	258	542	444	456	485	503	579
chr9	126537936	126538153	uc.269	44	40	51	51	24	0	13	32	27	31	14	4
chr9	128304068	128304346	uc.270	230	161	153	168	125	124	149	154	293	263	149	171
chr9	128304351	128304562	uc.271	230	161	153	168	124	124	149	154	292	263	149	171
chr9	128432587	128432800	uc.272	139	129	101	141	104	72	78	154	193	179	67	80
chr9	128517597	128517918	uc.273	69	8	15	1	9	36	24	21	61	2	41	42
chr9	128521870	128522197	uc.274	68	0	3	0	0	34	0	19	61	0	1	37
chr9	128584115	128584370	uc.275	64	8	0	0	0	34	24	19	59	0	0	37
chr9	128605811	128606243	uc.276	64	0	0	0	0	34	24	17	59	0	0	38
chr9	128607709	128607985	uc.277	64	0	0	0	0	38	24	17	59	0	0	38
chr9	128646164	128646401	uc.278	64	0	0	0	0	34	25	17	59	0	0	37
chr9	128672558	128672894	uc.279	66	0	0	0	0	34	24	17	59	2	0	37
chr9	128678005	128678225	uc.280	225	45	74	49	41	81	79	59	184	191	106	129
chr9	135495524	135495762	uc.281	18	13	12	9	11	13	26	47	25	42	14	19
chr9	140042489	140042696	uc.282	2	1154	812	1328	1000	6	0	9	0	9	35	0
chrX	21534559	21534814	uc.459	15	232	151	239	135	0	1	17	1	23	9	1
chrX	24823510	24823785	uc.460	0	0	0	0	0	0	0	4	5	2	0	0
chrX	24864796	24865193	uc.461	30	9	7	14	12	25	18	28	51	74	22	17
chrX	24894825	24895604	uc.462	36	9	7	14	12	25	18	30	51	0	24	19
chrX	24915881	24916156	uc.463	34	12	13	13	14	20	22	28	65	81	27	30
chrX	24916157	24916927	uc.464	34	12	13	13	14	20	22	28	65	81	27	30
chrX	24917480	24917790	uc.465	34	12	13	13	14	20	22	28	65	81	27	30
chrX	24946457	24946806	uc.466	34	13	13	13	14	20	22	28	65	81	27	30
chrX	25008353	25009084	uc.467	37	13	11	20	16	24	29	2	2	0	32	1
chrX	25017562	25018051	uc.468	0	0	0	0	0	0	0	0	4	0	0	0
chrX	25018052	25018274	uc.469	0	0	0	0	0	0	0	0	0	0	0	0
chrX	25401215	25401556	uc.470	0	0	0	0	0	0	0	0	0	0	0	0
chrX	41208370	41208609	uc.471	2072	1645	1274	1529	1576	815	1741	1691	1648	2552	1332	1789
chrX	41379305	41379507	uc.472	276	127	125	163	131	143	241	315	304	504	185	206
chrX	70373223	70373445	uc.473	79	294	133	204	248	113	40	51	128	97	69	51
chrX	70468842	70469052	uc.474	100	244	181	312	151	32	38	83	55	163	11	16
chrX	70766054	70766451	uc.475	163	290	249	476	207	23	61	124	36	412	21	21
chrX	81789598	81789836	uc.476	0	0	0	0	0	0	0	0	0	0	0	0
chrX	103041490	103041699	uc.477	596	4711	16481	7035	13030	4241	255	1365	593	423	4065	556
chrX	122599456	122599708	uc.478	67	268	232	302	212	20	45	45	81	28	43	37
chrX	122613750	122614052	uc.479	150	393	368	439	260	45	128	120	168	60	53	118
chrX	123235271	123235473	uc.480	246	130	142	159	150	78	245	260	243	297	88	175
chrX	123235474	123235678	uc.481	564	192	189	214	222	229	670	641	640	679	279	526
chrX	139170487	139170782	uc.482	0	0	0	0	0	0	0	0	0	0	0	0
