chrom	start	end	id	tcga_analysis/reindex/TCGA-06-0675-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0678-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0680-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0681-11A-41R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-AABW-11A-31R-A36H-07.bam
chr10	84245053	84263937	RGR___8424505384263937	2566	775	4323	884	249
chr10	84279980	84294659	LINC00858___8427998084294659	3	8	1	2	0
chr10	84328558	84521726	CCSER2___8432855884521726	12013	11593	14012	10282	11390
chr10	84572172	84576658	CHESS516___8457217284576658	10	7	4	6	0
chr10	84847273	84874407	LOC105378400___8484727384874407	4	3	6	6	0
chr10	84947323	84950932	LOC105378401___8494732384950932	0	0	0	0	0
chr10	84947368	84993049	LOC107984249___8494736884993049	1	2	6	2	3
chr10	85147911	85160353	CHESS517___8514791185160353	17	8	32	4	0
chr10	85193421	85198938	LINC01519___8519342185198938	0	0	0	0	0
chr10	85198973	85212802	LOC105378402___8519897385212802	0	0	0	1	0
chr10	85377486	85380116	LOC105378403___8537748685380116	1	0	0	0	0
chr10	85419883	85432808	LOC101929646___8541988385432808	0	0	0	1	0
chr10	85432863	85448956	LOC101929662___8543286385448956	2	0	1	0	0
chr10	85449592	85492001	LINC01520___8544959285492001	0	4	1	0	0
chr10	85526880	85531115	RP11-113E21.2___8552688085531115	43	32	24	40	18
chr10	85537119	85581970	LOC105378404___8553711985581970	101	108	115	91	123
chr10	85577731	85607215	GRID1-AS1___8557773185607215	1622	1578	1844	1895	3276
chr10	85599555	86366794	GRID1___8559955586366794	5931	7108	6618	7171	13079
chr10	86435256	86521816	WAPL___8643525686521816	4160	4322	4452	3524	4572
chr10	86521945	86530024	RP11-77P6.2___8652194586530024	112	83	144	147	216
chr10	86533832	86552366	LOC105378408___8653383286552366	25	46	22	31	25
chr10	86546027	86556154	LOC105378407___8654602786556154	19	14	12	12	6
chr10	86556328	86566402	LOC105378406___8655632886566402	5	5	4	2	2
chr10	86647568	86743514	LDB3___8664756886743514	1605	4804	2152	4350	23505
chr10	86653495	86666460	OPN4___8665349586666460	114	337	111	417	180
chr10	86658074	86666318	LOC105378409___8665807486666318	83	254	78	325	98
chr10	86750116	86933389	BMPR1A___8675011686933389	2513	2426	2640	2106	2212
chr10	86757067	86758976	CHESS518___8675706786758976	13	15	22	8	6
chr10	86928229	87013235	MMRN2___8692822987013235	23093	18915	23309	22062	6995
chr10	86937154	86963585	SNCG___8693715486963585	18692	15705	18957	17923	2817
chr10	86965276	86970909	ADIRF___8696527686970909	3379	1919	3029	2822	3412
chr10	86970741	87013265	AGAP11___8697074187013265	417	225	556	357	222
chr10	87020289	87031339	FAM25A___8702028987031339	5	10	6	12	7
chr10	87050202	87095047	GLUD1___8705020287095047	45509	32182	48348	35542	25978
chr10	87070086	87191580	FAM35A___8707008687191580	6464	4594	7452	4319	3480
chr10	87189779	87194905	LOC105378410___8718977987194905	308	374	404	376	500
chr10	87201667	87215499	CHESS519___8720166787215499	534	945	1210	1313	2873
chr10	87221899	87235372	NUTM2A___8722189987235372	65	83	88	120	321
chr10	87238292	87342612	NUTM2A-AS1___8723829287342612	541	1429	1487	1457	2961
chr10	87306329	87317398	CHESS520___8730632987317398	17	174	133	79	342
chr10	87342411	87357882	LINC00863___8734241187357882	354	641	762	646	1346
chr10	87357668	87370695	NUTM2D___8735766887370695	53	105	204	186	396
chr10	87395732	87435233	LINC00864___8739573287435233	4	13	9	5	8
chr10	87502792	87555232	MINPP1___8750279287555232	1417	1056	1669	1414	1205
chr10	87595973	87659477	LOC105378412___8759597387659477	42	14	25	19	10
chr10	87659719	87747705	PAPSS2___8765971987747705	1605	927	1191	776	364
chr10	87751512	87841345	ATAD1___8775151287841345	9050	7330	10193	7469	5040
chr10	87818313	87845612	CFL1P1___8781831387845612	312	189	402	280	156
chr10	87859161	87863437	KLLN___8785916187863437	173	132	238	196	112
chr10	87863438	87971930	PTEN___8786343887971930	12122	9798	12940	10087	4558
chr10	87873223	87879202	LOC107987150___8787322387879202	97	72	20	82	45
chr10	87971031	87975287	LOC107984250___8797103187975287	491	439	479	590	368
chr10	88042266	88060120	LOC105378414___8804226688060120	1	2	10	10	3
chr10	88061830	88104393	LOC105378415___8806183088104393	3	0	0	4	2
chr10	88120313	88122124	LOC105378416___8812031388122124	6	0	2	2	1
chr10	88131898	88504333	LOC101929727___8813189888504333	1171	995	1478	974	606
chr10	88176458	88583860	RNLS___8817645888583860	1020	914	1305	856	790
chr10	88582924	88623161	LIPJ___8858292488623161	341	283	376	315	282
chr10	88664389	88678815	LIPF___8866438988678815	0	0	0	5	1
chr10	88706224	88753984	LIPK___8870622488753984	3	1	9	1	2
chr10	88757226	88783702	LIPN___8875722688783702	2	6	4	14	6
chr10	88802730	88820857	LIPM___8880273088820857	27	6	2	16	1
chr10	88819899	88869051	ANKRD22___8881989988869051	432	118	48	147	11
chr10	88879368	88930190	STAMBPL1___8887936888930190	2191	1605	2917	2985	708
chr10	88925935	88932577	LOC105379869___8892593588932577	148	83	158	180	29
chr10	88928206	88991397	ACTA2___8892820688991397	2590	1730	3443	4560	931
chr10	88932684	88939974	ACTA2-AS1___8893268488939974	991	747	1422	2117	472
chr10	88939975	88941228	CHESS521___8893997588941228	142	92	164	217	40
chr10	88953564	89021421	FAS___8895356489021421	600	894	970	482	471
chr10	88991422	88992975	FAS-AS1___8899142288992975	13	24	18	5	14
chr10	89179282	89194754	LOC105378418___8917928289194754	1	2	0	18	0
chr10	89205937	89207314	CH25H___8920593789207314	1463	2601	1521	3457	591
chr10	89213538	89277299	LIPA___8921353889277299	6068	8114	6262	7668	36008
chr10	89279945	89292548	RP11-149I23.3___8927994589292548	393	687	658	783	2086
chr10	89288279	89316145	LOC105378419___8928827989316145	3895	1389	1778	1765	6743
chr10	89301949	89310437	IFIT2___8930194989310437	3729	1150	1523	1565	6116
chr10	89327223	89342382	IFIT3___8932722389342382	7982	3639	4629	5572	16699
chr10	89332105	89344944	LOC101926887___8933210589344944	7739	3346	4344	4882	13382
chr10	89378056	89385205	IFIT1B___8937805689385205	13	4	10	12	2
chr10	89392546	89413523	IFIT1___8939254689413523	9691	2585	7519	6457	4322
chr10	89411879	89421506	LOC107984251___8941187989421506	3119	2380	3365	2696	2983
chr10	89412519	89421051	IFIT5___8941251989421051	3073	2359	3322	2682	2968
chr10	89429837	89556764	SLC16A12___8942983789556764	217	132	388	61	57
chr10	89455991	89468151	SLC16A12-AS1___8945599189468151	10	3	16	1	0
chr10	89573995	89645572	PANK1___8957399589645572	1890	1795	2192	1478	540
chr10	89645272	89654637	LOC105378421___8964527289654637	5	8	20	17	8
chr10	89686913	89701451	FLJ37201___8968691389701451	55	60	73	54	97
chr10	89701590	89777656	KIF20B___8970159089777656	342	213	348	222	251
chr10	89823520	89830304	LOC105378424___8982352089830304	0	0	0	0	0
chr10	89829493	89841137	LINC00865___8982949389841137	430	471	1384	467	149
chr10	89853906	90081105	LOC105378425___8985390690081105	49	61	83	80	88
chr10	89915489	89957373	LINC01375___8991548989957373	10	4	8	16	1
chr10	90172425	90176705	LOC105378426___9017242590176705	6	0	0	0	4
chr10	90402521	90540805	LOC101926942___9040252190540805	6	3	8	10	0
chr10	90413440	90425823	CHESS522___9041344090425823	3	0	1	2	0
chr10	90622143	90623611	RP11-30G13.1___9062214390623611	0	2	0	0	0
chr10	90740818	90857914	HTR7___9074081890857914	355	530	500	316	130
chr10	90859062	90908558	RPP30___9085906290908558	2420	2687	2696	2623	1997
chr10	90912100	90921275	ANKRD1___9091210090921275	15	16	23	18	12
chr10	90934815	90997279	XLOC_008559___9093481590997279	144	144	211	154	162
chr10	90965877	90981276	LOC107984252___9096587790981276	22	16	34	23	18
chr10	90997480	91023424	LOC105378431___9099748091023424	20	37	56	46	87
chr10	91033166	91041255	LOC105378430___9103316691041255	2	2	2	1	2
chr10	91045808	91062159	LINC00502___9104580891062159	11	7	7	10	5
chr10	91103140	91161299	LOC105378429___9110314091161299	166	160	237	208	105
chr10	91151995	91153083	NUDT9P1___9115199591153083	42	33	49	43	28
chr10	91162403	91292111	PCGF5___9116240391292111	9189	7547	11484	7485	7182
chr10	91196343	91199145	CHESS523___9119634391199145	27	23	25	15	19
chr10	91306962	91611460	HECTD2-AS1___9130696291611460	2970	5107	3881	2897	976
chr10	91409280	91514829	HECTD2___9140928091514829	2694	4897	3525	2634	854
chr10	91551185	91557788	LOC105378433___9155118591557788	73	61	81	45	20
chr10	91616976	91652553	PPP1R3C___9161697691652553	4173	2645	4492	4901	1693
chr10	91676200	91706473	LOC107984253___9167620091706473	1	2	3	2	3
chr10	91781413	91798336	TNKS2-AS1___9178141391798336	32	42	96	63	114
chr10	91798394	91865627	TNKS2___9179839491865627	8131	7039	9255	6655	7580
chr10	91906588	91909501	FGFBP3___9190658891909501	636	381	743	654	483
chr10	91923769	92036999	BTAF1___9192376992036999	3188	4101	4124	3403	4099
chr10	92043179	92291118	CPEB3___9204317992291118	9171	6038	10668	7554	2511
chr10	92112383	92115528	LOC107984254___9211238392115528	53	32	60	24	12
chr10	92291163	92353964	43895___9229116392353964	4140	4352	4492	3905	3071
chr10	92369433	92370102	CHESS524___9236943392370102	0	0	0	0	0
chr10	92418661	92419606	MARK2P9___9241866192419606	6	4	8	2	1
chr10	92442933	92574484	IDE___9244293392574484	1673	1938	2220	1754	2202
chr10	92591825	92655396	KIF11___9259182592655396	354	179	383	254	250
chr10	92659044	92659302	RN7SL644P___9265904492659302	0	0	0	0	2
chr10	92689924	92695658	HHEX___9268992492695658	365	327	466	410	322
chr10	92826831	93059494	EXOC6___9282683193059494	3624	3970	3927	3178	1374
chr10	93059663	93060426	RP11-348J12.2___9305966393060426	2	0	15	6	3
chr10	93061264	93068697	CYP26C1___9306126493068697	37	86	179	93	133
chr10	93071747	93078427	CYP26A1___9307174793078427	168	315	230	322	293
chr10	93306345	93482504	MYOF___9330634593482504	1307	1806	1058	1107	763
chr10	93496612	93529094	CEP55___9349661293529094	26	17	14	23	27
chr10	93556479	93561103	LOC105378436___9355647993561103	0	0	0	3	0
chr10	93566179	93590072	FFAR4___9356617993590072	699	700	472	500	81
chr10	93591836	93601744	RBP4___9359183693601744	3884	2942	3706	4462	668
chr10	93612588	93665673	PDE6C___9361258893665673	239	149	279	204	362
chr10	93660163	93662459	CHESS525___9366016393662459	90	75	139	101	226
chr10	93667883	93702583	FRA10AC1___9366788393702583	5076	2800	3231	3892	3133
chr10	93708708	93757728	LOC101927013___9370870893757728	743	785	1015	776	210
chr10	93757770	93798174	LGI1___9375777093798174	6183	7285	8169	7258	2700
chr10	93758848	93789636	LOC105378437___9375884893789636	963	974	1456	831	276
chr10	93893951	93956062	SLC35G1___9389395193956062	470	370	580	379	153
chr10	93956800	93962665	PIPSL___9395680093962665	69	46	54	38	43
chr10	93986947	93993719	LOC105378438___9398694793993719	9	12	21	17	4
chr10	93993989	94332823	PLCE1___9399398994332823	2064	2267	2831	2121	1455
chr10	94081950	94108814	PLCE1-AS2___9408195094108814	26	12	36	16	4
chr10	94109103	94124181	LOC107984255___9410910394124181	5	7	14	8	1
chr10	94279277	94287070	PLCE1-AS1___9427927794287070	119	154	182	94	64
chr10	94314907	94315327	RP11-76P2.4___9431490794315327	11	13	20	10	9
chr10	94333226	94362976	NOC3L___9433322694362976	934	1030	972	801	1220
chr10	94402429	94536332	TBC1D12___9440242994536332	2242	3337	2727	2974	12511
chr10	94545345	94613998	HELLS___9454534594613998	263	196	341	224	192
chr10	94682869	94736190	CYP2C18___9468286994736190	117	99	106	22	25
chr10	94762681	94853205	CYP2C19___9476268194853205	15	27	21	2	7
chr10	94905867	94989395	CYP2C9___9490586794989395	5	5	5	5	2
chr10	94991441	94998358	LOC107984256___9499144194998358	0	0	2	0	0
chr10	95034431	95096162	CYP2C8___9503443195096162	206	170	588	180	62
chr10	95103532	95128908	LOC107984258___9510353295128908	68	113	261	114	5
chr10	95142804	95173289	LOC107984257___9514280495173289	49	70	76	52	38
chr10	95194200	95229086	ACSM6___9519420095229086	6	23	31	20	8
chr10	95237430	95292868	PDLIM1___9523743095292868	1078	1101	544	580	163
chr10	95311558	95561420	SORBS1___9531155895561420	23733	21670	27182	16699	8973
chr10	95605929	95656810	ALDH18A1___9560592995656810	3395	3436	3594	3213	1896
chr10	95663121	95694143	TCTN3___9566312195694143	2328	2545	2866	2725	1859
chr10	95710901	95877266	ENTPD1___9571090195877266	4226	3909	5789	4595	3340
chr10	95753206	96090238	ENTPD1-AS1___9575320696090238	5695	5132	7413	5947	4542
chr10	95907965	95938658	C10orf131___9590796595938658	115	47	132	82	100
chr10	95961574	95965953	CC2D2B___9596157495965953	6	4	9	4	5
chr10	96042848	96060870	CCNJ___9604284896060870	635	637	612	599	494
chr10	96129220	96165512	ZNF518A___9612922096165512	1975	1669	2734	1953	3106
chr10	96189171	96272723	BLNK___9618917196272723	688	684	1125	1031	973
chr10	96300088	96338643	DNTT___9630008896338643	8	16	8	9	56
chr10	96343216	96359365	OPALIN___9634321696359365	5486	20851	9497	16787	75576
chr10	96364491	96513926	TLL2___9636449196513926	907	645	991	881	1337
chr10	96517831	96587052	TM9SF3___9651783196587052	15062	16294	18304	14683	18814
chr10	96576871	96580030	CHESS526___9657687196580030	58	61	93	53	31
chr10	96587091	96609705	LOC105378443___9658709196609705	750	599	608	774	476
chr10	96592037	96720522	PIK3AP1___9659203796720522	1080	895	888	1086	533
chr10	96672707	96685139	CHESS527___9667270796685139	4	7	12	12	4
chr10	96750266	96750923	RPL13AP5___9675026696750923	318	150	230	277	248
chr10	96830632	96832458	LOC102723665___9683063296832458	257	196	367	313	291
chr10	96832250	96982325	LCOR___9683225096982325	1618	1739	2007	1608	2741
chr10	96941465	96942403	CHESS528___9694146596942403	4	4	5	2	7
chr10	96981284	96985828	C10orf12___9698128496985828	311	216	268	194	189
chr10	96997839	97185926	SLIT1___9699783997185926	36401	33675	40055	28415	8172
chr10	97077202	97102203	LOC105378444___9707720297102203	144	130	186	81	37
chr10	97102756	97111444	SLIT1-AS1___9710275697111444	127	12	94	79	27
chr10	97153042	97292673	ARHGAP19-SLIT1___9715304297292673	1889	1985	2393	1630	2185
chr10	97195581	97208705	CHESS529___9719558197208705	4	4	6	6	3
chr10	97210235	97231993	LOC105378447___9721023597231993	753	822	819	796	1819
chr10	97222010	97292673	ARHGAP19___9722201097292673	895	967	991	905	1970
chr10	97319265	97323365	FRAT1___9731926597323365	753	407	880	814	746
chr10	97323694	97335102	FRAT2___9732369497335102	1006	601	1009	1089	605
chr10	97334564	97343203	LOC105378448___9733456497343203	418	185	312	308	65
chr10	97356358	97401370	RRP12___9735635897401370	4545	7552	5533	6418	2650
chr10	97401242	97426252	LOC644215___9740124297426252	688	937	853	827	353
chr10	97413797	97422365	CHESS530___9741379797422365	140	129	189	204	87
chr10	97426125	97433444	PGAM1___9742612597433444	10274	10768	11374	9765	5241
chr10	97435909	97446065	EXOSC1___9743590997446065	1583	1209	1644	1762	1505
chr10	97446131	97457820	ZDHHC16___9744613197457820	2333	2261	2878	2671	1808
chr10	97457715	97498794	MMS19___9745771597498794	7797	7491	9367	8468	6898
chr10	97498882	97571210	UBTD1___9749888297571210	1332	2085	1373	1671	1746
chr10	97571924	97583894	ANKRD2___9757192497583894	287	238	386	642	70
chr10	97584323	97612802	HOGA1___9758432397612802	416	276	503	372	952
chr10	97589693	97590934	C10orf62___9758969397590934	4	6	11	14	26
chr10	97614375	97634156	MORN4___9761437597634156	4451	3760	5484	4842	1405
chr10	97640686	97676472	PI4K2A___9764068697676472	6566	6566	6475	6849	3598
chr10	97677422	97687432	AVPI1___9767742297687432	2036	1304	2322	2213	1307
chr10	97712882	97718152	MARVELD1___9771288297718152	757	470	914	907	396
chr10	97737121	97760907	ZFYVE27___9773712197760907	8378	7731	9931	9201	6099
chr10	97766751	97771999	SFRP5___9776675197771999	90	50	78	79	9
chr10	97822601	97841432	LOC107984260___9782260197841432	59	35	59	59	11
chr10	97828478	97849798	LINC00866___9782847897849798	100	55	148	122	22
chr10	97849855	97872012	GOLGA7B___9784985597872012	10236	10259	13305	12553	3622
chr10	97854711	98030828	CRTAC1___9785471198030828	13362	14376	17409	16935	6396
chr10	98134608	98244897	R3HCC1L___9813460898244897	1158	805	1464	1261	1494
chr10	98247555	98268250	LOXL4___9824755598268250	60	153	87	117	107
chr10	98268491	98280474	CHESS531___9826849198280474	122	49	102	58	24
chr10	98361252	98368925	LOC105378449___9836125298368925	4	10	6	14	14
chr10	98380181	98415221	PYROXD2___9838018198415221	590	574	938	794	2158
chr10	98415068	98446963	HPS1___9841506898446963	5453	4462	6752	6469	4774
chr10	98446321	98454284	LOC101927278___9844632198454284	228	196	266	191	126
chr10	98456982	99235974	HPSE2___9845698299235974	752	488	659	287	423
chr10	99329099	99394625	CNNM1___9932909999394625	6174	3096	7269	5825	1013
chr10	99396856	99430773	GOT1___9939685699430773	30131	26636	36178	30424	11088
chr10	99422526	99427324	LOC107984261___9942252699427324	601	507	785	511	214
chr10	99430704	99466469	LOC101927300___9943070499466469	466	384	731	587	651
chr10	99521655	99532781	LINC01475___9952165599532781	1	1	2	2	1
chr10	99532933	99536524	NKX2-3___9953293399536524	2	2	2	1	2
chr10	99610487	99659329	SLC25A28___9961048799659329	4148	4203	4891	5200	5289
chr10	99620857	99653622	LOC105378450___9962085799653622	170	89	174	114	74
chr10	99659506	99715267	ENTPD7___9965950699715267	3672	2977	4362	3737	3376
chr10	99677992	99732667	COX15___9967799299732667	5285	4099	6359	4980	4599
chr10	99732201	99756137	CUTC___9973220199756137	1392	1250	1723	1677	2882
chr10	99782598	99853952	ABCC2___9978259899853952	42	71	54	67	120
chr10	99875371	100009953	DNMBP___99875371100009953	1218	1077	1469	1124	604
chr10	99927010	99959234	DNMBP-AS1___9992701099959234	297	226	296	200	94
chr10	100027735	100081885	CPN1___100027735100081885	5	11	8	7	12
chr10	100148365	100186057	ERLIN1___100148365100186057	2253	1940	2361	2218	1775
chr10	100186182	100187825	CHESS532___100186182100187825	10	16	15	20	21
chr10	100188298	100229610	CHUK___100188298100229610	2332	2785	3205	2188	2844
chr10	100229660	100231987	CHESS533___100229660100231987	13	13	21	19	7
chr10	100232228	100267681	CWF19L1___100232228100267681	2186	1896	2726	2254	2484
chr10	100273278	100286712	BLOC1S2___100273278100286712	7133	9202	8367	7226	5227
chr10	100288145	100346941	PKD2L1___100288145100346941	1004	518	846	931	49
chr10	100347015	100365869	SCD___100347015100365869	85634	91650	99942	62992	416371
chr10	100373280	100413421	OLMALINC___100373280100413421	1801	2667	2133	2045	8499
chr10	100463055	100486738	WNT8B___100463055100486738	78	59	117	93	135
chr10	100463787	100480788	LOC105378452___100463787100480788	34	26	47	26	52
chr10	100483791	100519864	SEC31B___100483791100519864	2089	1467	3399	2547	2219
chr10	100523729	100535865	NDUFB8___100523729100535865	15760	14819	17414	17435	11281
chr10	100535884	100554076	HIF1AN___100535884100554076	5966	4953	7340	6013	4876
chr10	100554526	100599833	CHESS534___100554526100599833	1144	823	1031	880	619
chr10	100695813	100721915	CHESS535___100695813100721915	20	7	14	3	8
chr10	100732940	100829941	PAX2___100732940100829941	413	290	211	221	21
chr10	100894427	100968135	SLF2___100894427100968135	3970	4626	5673	4875	9623
chr10	100967860	100969394	CHESS536___100967860100969394	209	213	192	226	115
chr10	100968139	100985618	SEMA4G___100968139100985618	1791	1512	2857	2005	1493
chr10	100977822	100987519	MRPL43___100977822100987519	4338	4493	5718	5442	6817
chr10	100987527	100994403	C10orf2___100987527100994403	718	792	859	797	823
chr10	100993710	101031157	PDZD7___100993710101031157	7350	10544	9879	11465	29330
chr10	100996558	101008835	LZTS2___100996558101008835	5516	7611	7351	9408	28149
chr10	101031229	101041244	SFXN3___101031229101041244	8947	9599	10560	10114	8492
chr10	101044875	101062995	LOC107984262___101044875101062995	125	49	145	111	55
chr10	101061124	101068911	KAZALD1___101061124101068911	314	114	348	265	107
chr10	101089321	101141347	TLX1NB___101089321101141347	12	4	4	9	9
chr10	101092908	101098691	CHESS537___101092908101098691	1	0	0	4	2
chr10	101130773	101137813	TLX1___101130773101137813	7	2	2	4	1
chr10	101139497	101140461	CHESS538___101139497101140461	2	0	0	3	1
chr10	101176322	101209062	LINC01514___101176322101209062	6	4	2	6	6
chr10	101221801	101224192	CHESS539___101221801101224192	2	0	0	1	2
chr10	101226976	101228960	LBX1___101226976101228960	2	0	0	0	3
chr10	101229550	101240872	LBX1-AS1___101229550101240872	7	0	4	6	1
chr10	101252821	101263550	LOC101927419___101252821101263550	10	2	5	5	5
chr10	101283939	101286730	LOC105378453___101283939101286730	61	7	100	104	5
chr10	101311001	101313039	LOC105378454___101311001101313039	83	56	85	58	6
chr10	101353808	101557321	BTRC___101353808101557321	14716	14343	16664	12395	4580
chr10	101565069	101588270	POLL___101565069101588270	2571	2087	3311	3052	2525
chr10	101587267	101622412	DPCD___101587267101622412	5416	4832	6243	7191	7056
chr10	101610656	101695295	FBXW4___101610656101695295	5095	4877	5992	7025	9695
chr10	101695305	101701076	CHESS540___101695305101701076	48	37	58	62	57
chr10	101701994	101704541	LOC105378456___101701994101704541	2	0	8	2	3
chr10	101702065	101704751	LOC105378455___101702065101704751	2	0	7	3	4
chr10	101735940	101767056	LOC105378458___101735940101767056	7	6	4	16	7
chr10	101767046	101773046	LOC105378457___101767046101773046	14	20	37	32	11
chr10	101770130	101780369	FGF8___101770130101780369	22	28	46	38	17
chr10	101781325	101783413	NPM3___101781325101783413	1043	844	1087	1288	587
chr10	101784307	101819067	MGEA5___101784307101819067	32854	26259	36441	30425	13447
chr10	101818768	101828889	KCNIP2-AS1___101818768101828889	7398	5218	7844	8868	1379
chr10	101825971	101843920	KCNIP2___101825971101843920	8759	6138	9611	10549	1643
chr10	101839943	101841832	LOC107984042___101839943101841832	79	52	104	89	7
chr10	101844110	102056237	C10orf76___101844110102056237	3384	3139	4361	3734	3589
chr10	101844640	101849768	LOC107984029___101844640101849768	1872	1677	2361	2194	2074
chr10	101850345	101910343	LOC101927445___101850345101910343	167	163	228	144	218
chr10	102065367	102068038	HPS6___102065367102068038	1901	1789	1883	2254	1401
chr10	102102100	102120473	LDB1___102102100102120473	12636	10960	15137	13348	9351
chr10	102119889	102123542	LOC105378459___102119889102123542	441	313	555	401	362
chr10	102132994	102150335	PPRC1___102132994102150335	2959	4144	3229	3348	3249
chr10	102152176	102164734	NOLC1___102152176102164734	12119	14616	13728	11686	10438
chr10	102224767	102229676	ELOVL3___102224767102229676	42	40	49	49	4
chr10	102230189	102241474	PITX3___102230189102241474	6	49	7	7	3
chr10	102245498	102382933	GBF1___102245498102382933	14976	13608	17000	12881	8887
chr10	102301003	102327399	CHESS541___102301003102327399	48	40	59	40	47
chr10	102347214	102351288	LOC107984263___102347214102351288	136	93	139	81	42
chr10	102374585	102382894	CHESS542___102374585102382894	7854	7358	8619	8019	5634
chr10	102394110	102402979	NFKB2___102394110102402979	5375	6306	5706	7618	2284
chr10	102402481	102420164	PSD___102402481102420164	56988	47939	52608	51028	10268
chr10	102419222	102424399	FBXL15___102419222102424399	9554	8322	10728	12114	7538
chr10	102423169	102432666	CUEDC2___102423169102432666	8155	6418	8627	8998	7346
chr10	102449817	102460509	RPARP-AS1___102449817102460509	1077	814	1933	1331	765
chr10	102449837	102451543	C10orf95___102449837102451543	225	180	384	227	98
chr10	102460896	102484639	MFSD13A___102460896102484639	25208	23702	26841	26852	25937
chr10	102479229	102502755	ACTR1A___102479229102502755	26506	24446	27963	27569	26930
chr10	102502322	102633460	SUFU___102502322102633460	3854	3051	4304	3506	3084
chr10	102642106	102644483	CHESS543___102642106102644483	356	242	375	383	230
chr10	102642792	102644140	RP11-47A8.5___102642792102644140	293	199	318	303	190
chr10	102644484	102658319	TRIM8___102644484102658319	11253	10442	12313	12738	15559
chr10	102650103	102655131	LOC105378460___102650103102655131	1127	1324	1437	1262	1456
chr10	102673727	102714433	ARL3___102673727102714433	9191	7579	9292	9273	4279
chr10	102714518	102739310	SFXN2___102714518102739310	406	292	496	435	219
chr10	102739190	102816319	WBP1L___102739190102816319	5749	8442	6229	5704	5989
chr10	102811182	102837533	CYP17A1___102811182102837533	5411	8047	5789	5463	5914
chr10	102832667	102834512	CYP17A1-AS1___102832667102834512	149	140	158	204	183
chr10	102835393	102837055	CHESS544___102835393102837055	8	3	4	2	2
chr10	102839199	102844110	LOC107984264___102839199102844110	21	16	23	20	0
chr10	102854210	102864961	BORCS7___102854210102864961	3031	3290	5068	4073	2519
chr10	102854210	102904140	BORCS7-ASMT___102854210102904140	4144	4240	6429	5234	3465
chr10	102869453	102910955	AS3MT___102869453102910955	1029	845	1217	1080	844
chr10	102898705	102918335	LOC107984265___102898705102918335	423	449	560	571	436
chr10	102914585	102915404	RP11-724N1.1___102914585102915404	2	7	12	9	14
chr10	102918293	103090320	CNNM2___102918293103090320	7885	6461	9261	7859	7330
chr10	103076841	103197253	NT5C2___103076841103197253	10293	8820	12164	9736	9241
chr10	103245887	103248016	RPEL1___103245887103248016	12	12	13	18	3
chr10	103277138	103290351	INA___103277138103290351	24814	17134	27786	23595	3460
chr10	103302723	103351134	PCGF6___103302723103351134	692	648	702	737	931
chr10	103367953	103389374	TAF5___103367953103389374	1851	2036	2233	2412	1398
chr10	103389041	103396513	USMG5___103389041103396513	6723	6032	7430	7763	3983
chr10	103396615	103448252	PDCD11___103396615103448252	3923	4448	4208	4049	3043
chr10	103446783	103453386	CALHM2___103446783103453386	1363	988	1349	1442	586
chr10	103453387	103458891	CALHM1___103453387103458891	831	444	878	585	92
chr10	103472804	103479240	CALHM3___103472804103479240	40	6	22	31	6
chr10	103479603	103517442	NEURL1-AS1___103479603103517442	385	327	492	347	64
chr10	103493839	103607622	NEURL1___103493839103607622	29018	25063	32445	26811	15001
chr10	103582870	103584759	CHESS545___103582870103584759	100	48	171	147	122
chr10	103588995	103855547	SH3PXD2A___103588995103855547	27437	23906	31057	25886	15268
chr10	103608619	103610050	RP11-416N2.4___103608619103610050	520	895	590	507	98
chr10	103637853	103644576	CHESS546___103637853103644576	65	69	98	67	37
chr10	103662398	103668577	CHESS547___103662398103668577	57	46	99	60	63
chr10	103696731	103700079	CHESS548___103696731103700079	3	8	15	8	19
chr10	103745966	103761444	SH3PXD2A-AS1___103745966103761444	15	18	26	24	23
chr10	103856811	103918287	OBFC1___103856811103918287	1973	1330	2507	1830	2615
chr10	103937647	103967045	LOC102724351___103937647103967045	178	126	130	191	91
chr10	103967173	104032385	SLK___103967173104032385	8084	8426	8977	6984	5785
chr10	104031288	104086238	COL17A1___104031288104086238	118	70	122	165	167
chr10	104121276	104126385	SFR1___104121276104126385	323	461	446	653	1645
chr10	104129888	104232363	CFAP43___104129888104232363	619	383	716	513	276
chr10	104253553	104267464	GSTO1___104253553104267464	6151	10673	7821	7819	7669
chr10	104267626	104304948	GSTO2___104267626104304948	1838	3520	2437	2592	1069
chr10	104302463	104338846	ITPRIP___104302463104338846	1350	2249	1314	2107	1439
chr10	104306066	104335760	LOC101927472___104306066104335760	839	1744	756	1265	1212
chr10	104338520	104455469	CFAP58___104338520104455469	440	669	585	441	184
chr10	104350205	104353575	CFAP58-AS1___104350205104353575	273	486	395	344	112
chr10	104474939	104480275	LOC101927523___104474939104480275	1	1	1	4	1
chr10	104566946	104624743	LOC105378464___104566946104624743	10	25	24	15	12
chr10	104641101	105265242	SORCS3___104641101105265242	4509	9183	5167	3719	1376
chr10	104664608	104666216	SORCS3-AS1___104664608104666216	29	36	19	0	7
chr10	105154081	105178056	LOC105378465___105154081105178056	338	666	398	172	60
